"","run","year","fixed.maturity","habitat.struct","num.river.with.fish","total.count","habitat.K","p.filled"
"151",2,48,1,1,11,9158,55500,0.165009009009009
"152",2,49,1,1,0,9247,55500,0.166612612612613
"153",2,50,1,1,11,9247,55500,0.166612612612613
"154",2,51,1,1,0,9241,55500,0.166504504504504
"155",2,52,1,1,12,9241,55500,0.166504504504504
"156",2,53,1,1,0,10208,55500,0.183927927927928
"157",2,54,1,1,12,10208,55500,0.183927927927928
"158",2,55,1,1,0,9886,55500,0.178126126126126
"159",2,56,1,1,12,9886,55500,0.178126126126126
"160",2,57,1,1,0,11279,55500,0.203225225225225
"161",2,58,1,1,14,11279,55500,0.203225225225225
"162",2,59,1,1,0,12474,55500,0.224756756756757
"163",2,60,1,1,14,12474,55500,0.224756756756757
"164",2,61,1,1,0,13367,55500,0.240846846846847
"165",2,62,1,1,14,13367,55500,0.240846846846847
"166",2,63,1,1,0,14477,55500,0.260846846846847
"167",2,64,1,1,14,14477,55500,0.260846846846847
"168",2,65,1,1,0,15797,55500,0.284630630630631
"169",2,66,1,1,15,15797,55500,0.284630630630631
"170",2,67,1,1,0,16261,55500,0.292990990990991
"171",2,68,1,1,17,16261,55500,0.292990990990991
"172",2,69,1,1,0,17279,55500,0.311333333333333
"173",2,70,1,1,17,17279,55500,0.311333333333333
"174",2,71,1,1,0,16183,55500,0.291585585585586
"175",2,72,1,1,17,16183,55500,0.291585585585586
"176",2,73,1,1,0,17847,55500,0.321567567567568
"177",2,74,1,1,17,17847,55500,0.321567567567568
"178",2,75,1,1,0,18098,55500,0.32609009009009
"179",2,76,1,1,17,18098,55500,0.32609009009009
"180",2,77,1,1,0,18794,55500,0.338630630630631
"181",2,78,1,1,18,18794,55500,0.338630630630631
"182",2,79,1,1,0,17916,55500,0.322810810810811
"183",2,80,1,1,19,17916,55500,0.322810810810811
"184",2,81,1,1,0,19552,55500,0.352288288288288
"185",2,82,1,1,18,19552,55500,0.352288288288288
"186",2,83,1,1,0,19112,55500,0.34436036036036
"187",2,84,1,1,19,19112,55500,0.34436036036036
"188",2,85,1,1,0,19653,55500,0.354108108108108
"189",2,86,1,1,19,19653,55500,0.354108108108108
"190",2,87,1,1,0,18896,55500,0.340468468468468
"191",2,88,1,1,19,18896,55500,0.340468468468468
"192",2,89,1,1,0,19331,55500,0.348306306306306
"193",2,90,1,1,20,19331,55500,0.348306306306306
"194",2,91,1,1,0,19893,55500,0.358432432432432
"195",2,92,1,1,21,19893,55500,0.358432432432432
"196",2,93,1,1,0,20543,55500,0.370144144144144
"197",2,94,1,1,21,20543,55500,0.370144144144144
"198",2,95,1,1,0,20960,55500,0.377657657657658
"199",2,96,1,1,22,20960,55500,0.377657657657658
"200",2,97,1,1,0,20499,55500,0.369351351351351
"201",2,98,1,1,22,20499,55500,0.369351351351351
"202",2,99,1,1,0,20724,55500,0.373405405405405
"203",2,100,1,1,22,20724,55500,0.373405405405405
"204",2,101,1,1,0,22701,55500,0.409027027027027
"205",2,102,1,1,21,22701,55500,0.409027027027027
"206",2,103,1,1,0,22602,55500,0.407243243243243
"207",3,1,1,1,1,100,48000,0.00208333333333333
"208",3,2,1,1,4,100,48000,0.00208333333333333
"209",3,3,1,1,0,126,48000,0.002625
"210",3,4,1,1,5,126,48000,0.002625
"211",3,5,1,1,0,188,48000,0.00391666666666667
"212",3,6,1,1,5,188,48000,0.00391666666666667
"213",3,7,1,1,0,243,48000,0.0050625
"214",3,8,1,1,5,243,48000,0.0050625
"215",3,9,1,1,0,349,48000,0.00727083333333333
"216",3,10,1,1,5,349,48000,0.00727083333333333
"217",3,11,1,1,0,557,48000,0.0116041666666667
"218",3,12,1,1,5,557,48000,0.0116041666666667
"219",3,13,1,1,0,776,48000,0.0161666666666667
"220",3,14,1,1,5,776,48000,0.0161666666666667
"221",3,15,1,1,0,1044,48000,0.02175
"222",3,16,1,1,6,1044,48000,0.02175
"223",3,17,1,1,0,1468,48000,0.0305833333333333
"224",3,18,1,1,7,1468,48000,0.0305833333333333
"225",3,19,1,1,0,2042,48000,0.0425416666666667
"226",3,20,1,1,8,2042,48000,0.0425416666666667
"227",3,21,1,1,0,2913,48000,0.0606875
"228",3,22,1,1,9,2913,48000,0.0606875
"229",3,23,1,1,0,4150,48000,0.0864583333333333
"230",3,24,1,1,9,4150,48000,0.0864583333333333
"231",3,25,1,1,0,4741,48000,0.0987708333333333
"232",3,26,1,1,9,4741,48000,0.0987708333333333
"233",3,27,1,1,0,5717,48000,0.119104166666667
"234",3,28,1,1,10,5717,48000,0.119104166666667
"235",3,29,1,1,0,6924,48000,0.14425
"236",3,30,1,1,10,6924,48000,0.14425
"237",3,31,1,1,0,7895,48000,0.164479166666667
"238",3,32,1,1,11,7895,48000,0.164479166666667
"239",3,33,1,1,0,8620,48000,0.179583333333333
"240",3,34,1,1,11,8620,48000,0.179583333333333
"241",3,35,1,1,0,9385,48000,0.195520833333333
"242",3,36,1,1,12,9385,48000,0.195520833333333
"243",3,37,1,1,0,9695,48000,0.201979166666667
"244",3,38,1,1,12,9695,48000,0.201979166666667
"245",3,39,1,1,0,9568,48000,0.199333333333333
"246",3,40,1,1,13,9568,48000,0.199333333333333
"247",3,41,1,1,0,9592,48000,0.199833333333333
"248",3,42,1,1,13,9592,48000,0.199833333333333
"249",3,43,1,1,0,9777,48000,0.2036875
"250",3,44,1,1,13,9777,48000,0.2036875
"251",3,45,1,1,0,10352,48000,0.215666666666667
"252",3,46,1,1,13,10352,48000,0.215666666666667
"253",3,47,1,1,0,10893,48000,0.2269375
"254",3,48,1,1,14,10893,48000,0.2269375
"255",3,49,1,1,0,11011,48000,0.229395833333333
"256",3,50,1,1,15,11011,48000,0.229395833333333
"257",3,51,1,1,0,11093,48000,0.231104166666667
"258",3,52,1,1,16,11093,48000,0.231104166666667
"259",3,53,1,1,0,10922,48000,0.227541666666667
"260",3,54,1,1,16,10922,48000,0.227541666666667
"261",3,55,1,1,0,11685,48000,0.2434375
"262",3,56,1,1,16,11685,48000,0.2434375
"263",3,57,1,1,0,11923,48000,0.248395833333333
"264",3,58,1,1,16,11923,48000,0.248395833333333
"265",3,59,1,1,0,12960,48000,0.27
"266",3,60,1,1,16,12960,48000,0.27
"267",3,61,1,1,0,14444,48000,0.300916666666667
"268",3,62,1,1,18,14444,48000,0.300916666666667
"269",3,63,1,1,0,15697,48000,0.327020833333333
