"","year","two_yrs_fit","two_yrs_home_fit","two_yrs_stray_fit","two_yrs_RRS","two_yrs_home_RRS","two_yrs_stray_RRS"
"46",92,1.25555050233597,1.2633831990794,1.18643379366369,1,1.00623845614244,0.944951072423064
"47",94,1.26596271242369,1.27787950924739,1.1575,1,1.0094132289259,0.914323928059429
"48",96,1.22566667979675,1.23941382327209,1.10130589631975,1,1.01121605384396,0.898536212555258
"49",98,1.27041444398851,1.28016611902154,1.18348250610252,1,1.00767597934609,0.931571985585222
"50",100,1.23866579059251,1.24950580146111,1.1417595082597,1,1.00875136049686,0.921765594021568
"51",102,1.22865630184021,1.23804017302668,1.14346811819596,1,1.00763750706558,0.930665570577662
"52",104,1.25479368001227,1.26788912579957,1.13785224676314,1,1.01043633387377,0.906804253869058
"53",106,1.27345907978849,1.28112661226639,1.20486656200942,1,1.0060210277657,0.946136849728641
"54",108,1.27827843380982,1.28626316698325,1.20658914728682,1,1.00624647413446,0.943917315174181
"55",110,1.34109228168128,1.35310302659737,1.23264984227129,1,1.00895594216755,0.919138719317632
"56",112,1.29338137682534,1.30349096728008,1.20168067226891,1,1.00781640329441,0.929100027107617
"57",114,1.30616410891991,1.31554477461088,1.22016308376575,1,1.00718184309835,0.934157565219521
"58",116,1.33428888809259,1.34112336209652,1.27478260869565,1,1.00512218460703,0.955402252144956
"59",118,1.32714427113553,1.33234601655654,1.28094435075885,1,1.00391950259979,0.965188471682019
"60",120,1.29587534990388,1.30108658871301,1.25049115913556,1,1.00402140438084,0.964977965842403
"61",122,1.24340323697966,1.25727883538634,1.11879321181647,1,1.01115937130772,0.899783094126504
"62",124,1.32923431645691,1.3452457150985,1.18421900161031,1,1.01204558025877,0.890903121405151
"63",126,1.26485649636775,1.27621195039459,1.16501457725948,1,1.00897766193987,0.921064627177084
"64",128,1.29933911000147,1.30886820186183,1.21428571428571,1,1.00733379899598,0.934541033159805
"65",130,1.31725460568373,1.32439134355275,1.25133848899465,1,1.00541788796048,0.949959471460817
"66",132,1.33077811909929,1.3425517952564,1.22257323377369,1,1.00884721200938,0.918690513638119
"67",134,1.26877918788422,1.2740764592237,1.22037978069002,1,1.00417509318411,0.961853561552416
"68",136,1.3038004688035,1.30825639827042,1.26303127506014,1,1.0034176467746,0.968730496177251
"69",138,1.26815670771882,1.27359927777464,1.22011952191235,1,1.00429171727965,0.962120465464495
"70",140,1.23455841755287,1.24492463652128,1.14141898370086,1,1.00839670186604,0.924556479039178
"71",142,1.24266844690287,1.24506565910112,1.22051282051282,1,1.00192908430581,0.982170927051971
"72",144,1.21275507832473,1.21674063370833,1.17658079625293,1,1.00328636462121,0.970171815630097
"73",146,1.22438887852211,1.23086090313221,1.16592557921835,1,1.00528592240882,0.952251036962756
"74",148,1.24875267284391,1.25698809341305,1.17474167623421,1,1.00659491727084,0.94073206150491
"75",150,1.30125802074469,1.31000051075132,1.22206800832755,1,1.00671849077373,0.93914349717374
"76",152,1.27029633526214,1.27567396439617,1.22188116641087,1,1.00423336585705,0.961886712960345
"77",154,1.22612290359201,1.23688659253792,1.12969283276451,1,1.00877863786279,0.92135366646769
"78",156,1.18313570487484,1.19673482472008,1.06200285539466,1,1.01149413358857,0.897617112744481
"79",158,1.30006426307975,1.30686284142268,1.23737259343148,1,1.0052294171419,0.951778022495782
"80",160,1.3163455283641,1.32705185332703,1.218820861678,1,1.00813336979709,0.925912562784867
"81",162,1.20154095701541,1.20982765603204,1.12597455888387,1,1.00689672621499,0.937108762135549
"82",164,1.22361548623107,1.23390979993218,1.13199195171026,1,1.00841302992398,0.925120648151465
"83",166,1.25177166567385,1.25774825335013,1.19988066825776,1,1.00477450308245,0.958545956232234
"84",168,1.22961390906865,1.23954794582597,1.13917525773196,1,1.00807898860289,0.926449554067593
"85",170,1.16933757593289,1.18005664992919,1.07424328954883,1,1.00916679170918,0.91867678902887
"86",172,1.27923239551147,1.29504052010203,1.1361128142244,1,1.01235750802281,0.888120734129907
"87",174,1.31830470407187,1.33490096142708,1.17272912009754,1,1.01258909059791,0.889573644450567
"88",176,1.22177049180328,1.2325615291717,1.12488315573004,1,1.00883229496932,0.920699233838727
"89",178,1.32750949759259,1.34299309909341,1.18684695759066,1,1.01166364649662,0.894040275977671
"90",180,1.26920650698679,1.27570875060871,1.20877607241244,1,1.00512307775459,0.952387232304834
"91",182,1.24845387549532,1.26467561337066,1.10309848764294,1,1.01299346190816,0.883571679574698
"92",184,1.27351164797239,1.28146905517944,1.20183486238532,1,1.00624839766461,0.943717212401482
"93",186,1.28272107849405,1.29535548482575,1.16765140324963,1,1.00984969105406,0.910292520195023
"94",188,1.21931140335578,1.22762495156916,1.14420721036052,1,1.00681823215177,0.938404420077959
"95",190,1.30839256765183,1.32102744601756,1.19349037942816,1,1.00965679466401,0.912180647410829
"96",192,1.27373214223644,1.28553255464323,1.16548797736917,1,1.00926443795795,0.915018109947973
"97",194,1.19757631038864,1.21115241635688,1.07777244359097,1,1.01133631807048,0.899961392223278
"98",196,1.18851282712805,1.20067831891756,1.08075027817517,1,1.01023589439831,0.909329923503413
"99",198,NA,NA,NA,1,NA,NA
"100",200,NA,NA,NA,1,NA,NA
